species,n_images,mean_dominant_fraction,mean_hue_dispersion,mean_n_significant_colors,prop_solid,mean_elongated_region_count,mean_periodicity_strength,prop_striped,mean_spot_count,mean_spot_area_fraction,prop_spotted
Acanthurus_achilles,22,0.567723928446334,0.2574181743360876,3.590909090909091,0.2727272727272727,7.863636363636363,0.10305464537042419,0.0,3.3181818181818183,0.0035344994301226952,0.045454545454545456
Acanthurus_bariene,12,0.48087144623962336,0.19930747472948282,3.5833333333333335,0.5,7.166666666666667,0.08582210795477037,0.08333333333333333,5.833333333333333,0.002693820048329904,0.25
Acanthurus_blochii,7,0.5517200585303459,0.08455493476892538,2.5714285714285716,0.8571428571428571,1.7142857142857142,0.09170047012406782,0.0,2.4285714285714284,0.0019463139137299926,0.0
Acanthurus_chirurgus,19,0.4934364496653789,0.14767697265888052,3.263157894736842,0.7368421052631579,5.157894736842105,0.08089716227996423,0.0,6.315789473684211,0.004262360968486561,0.15789473684210525
Acanthurus_dussumieri,22,0.4942906752860608,0.19559973107171436,3.590909090909091,0.5454545454545454,7.7727272727272725,0.09156687640382222,0.045454545454545456,6.454545454545454,0.004971544974928187,0.13636363636363635
Acanthurus_guttatus,17,0.5068895915949726,0.12416837082945413,3.235294117647059,0.8823529411764706,3.9411764705882355,0.0967733396083613,0.0,8.117647058823529,0.004767071677035055,0.29411764705882354
Acanthurus_japonicus,17,0.42718832946160423,0.32612236239132747,4.0,0.11764705882352941,5.117647058823529,0.07728051925094659,0.0,3.1176470588235294,0.0044259696019630715,0.0
Acanthurus_leucocheilus,13,0.525271129491202,0.11677108287260997,2.6923076923076925,1.0,6.461538461538462,0.08222605582278207,0.0,8.384615384615385,0.0038712711126519346,0.3076923076923077
Acanthurus_leucosternon,15,0.533384172977854,0.36812612880800505,3.7333333333333334,0.13333333333333333,4.2,0.09616048011221358,0.0,3.2666666666666666,0.0053422480030278765,0.0
Acanthurus_lineatus,16,0.3911775916806095,0.41852190105336023,3.9375,0.0,34.125,0.07741845417464677,0.9375,2.75,0.004913632449687937,0.0
Acanthurus_mata,16,0.432909591204535,0.17027453353026417,3.375,0.625,13.625,0.08517211535373802,0.3125,4.375,0.0035814303161072446,0.0
Acanthurus_monroviae,22,0.49770849832914626,0.17478664091342863,3.090909090909091,0.6363636363636364,6.2727272727272725,0.0872266751230266,0.0,5.5,0.005015207083285055,0.045454545454545456
Acanthurus_nigricans,11,0.5706023219412816,0.1933592964465938,3.4545454545454546,0.5454545454545454,7.454545454545454,0.08095610355504244,0.0,2.0,0.0027640688430700107,0.0
Acanthurus_nigricauda,16,0.4870479615986965,0.1458434873426116,3.375,0.9375,7.125,0.08348448527655589,0.0,6.9375,0.003871260180966495,0.1875
Acanthurus_nigrofuscus,9,0.5165282685875127,0.18004614109222722,3.4444444444444446,0.4444444444444444,5.0,0.08718490049794386,0.0,6.888888888888889,0.0047614353226482775,0.1111111111111111
Acanthurus_nubilus,16,0.3973679308273453,0.17431736893213146,3.6875,0.6875,21.5,0.07999319082356751,0.3125,7.4375,0.0035866120534923706,0.1875
Acanthurus_olivaceus,19,0.5168816253660256,0.16305904011157363,2.6842105263157894,0.7368421052631579,5.052631578947368,0.0858114494997754,0.0,6.368421052631579,0.004311259500092653,0.21052631578947367
Acanthurus_pyroferus,11,0.4428632593161306,0.3093352785907644,3.727272727272727,0.18181818181818182,1.2727272727272727,0.09315717583055726,0.0,4.909090909090909,0.0045352121946439245,0.09090909090909091
Acanthurus_tennentii,14,0.4460454965439092,0.16263648244850487,3.5714285714285716,0.7142857142857143,7.214285714285714,0.06842497837482224,0.0,4.642857142857143,0.008237387143159665,0.07142857142857142
Acanthurus_triostegus,5,0.47608254271043593,0.0929621041393833,3.4,1.0,8.0,0.06853261368844787,0.0,4.8,0.0033201168787617627,0.0
Acanthurus_xanthopterus,19,0.4993532380039089,0.15981014395161475,3.263157894736842,0.7368421052631579,9.421052631578947,0.07877166830754846,0.05263157894736842,2.9473684210526314,0.004702433071139041,0.0
Ctenochaetus_binotatus,21,0.407990538737127,0.24579629141917544,3.619047619047619,0.23809523809523808,5.380952380952381,0.09136669827350483,0.047619047619047616,3.4761904761904763,0.005097470250063372,0.0
Ctenochaetus_cyanocheilus,13,0.5361476100053582,0.18613141538985456,3.076923076923077,0.6153846153846154,7.153846153846154,0.07602720868556313,0.07692307692307693,2.5384615384615383,0.004367425776558965,0.0
Ctenochaetus_flavicauda,12,0.4004511490519671,0.22833602618190682,3.5,0.5,6.666666666666667,0.08693944689030285,0.08333333333333333,3.0,0.00562475033710621,0.0
Ctenochaetus_hawaiiensis,15,0.4583887304452267,0.16252880075045448,3.2666666666666666,0.7333333333333333,16.333333333333332,0.06378465692579298,0.2,7.533333333333333,0.003585548032637312,0.2
Ctenochaetus_striatus,17,0.44728641360141735,0.1254914462683779,3.0,0.8235294117647058,4.117647058823529,0.07718030415308796,0.0,9.058823529411764,0.0043034931056984815,0.29411764705882354
Ctenochaetus_strigosus,10,0.5630033719693888,0.12433992313823299,2.5,0.8,7.6,0.06689842685057874,0.2,5.7,0.00588665535659279,0.0
Ctenochaetus_tominiensis,22,0.5229170159753402,0.23247646817210546,3.3636363636363638,0.36363636363636365,3.0,0.10059280590922311,0.0,3.8636363636363638,0.0038968903577139904,0.09090909090909091
Ctenochaetus_truncatus,12,0.5298772979878947,0.15682000936894264,2.9166666666666665,0.75,2.9166666666666665,0.07061136080229614,0.0,3.5833333333333335,0.004472129125703849,0.0
Naso_annulatus,11,0.5066226676703334,0.1312840180133944,2.909090909090909,0.9090909090909091,2.5454545454545454,0.07178066737690152,0.0,5.363636363636363,0.0047822391847053,0.18181818181818182
Naso_brachycentron,9,0.45180806129941775,0.07364166905936828,3.2222222222222223,1.0,5.444444444444445,0.08870298278272502,0.0,8.666666666666666,0.0038716221378967425,0.3333333333333333
Naso_brevirostris,16,0.46639757178712077,0.11110843606816938,3.1875,0.875,5.1875,0.08691041749141,0.0,5.5625,0.0025189011270466597,0.125
Naso_caesius,17,0.5365187252437483,0.09549315309665753,3.0,0.8823529411764706,4.705882352941177,0.08317095065495794,0.0,7.352941176470588,0.0017009657126624421,0.23529411764705882
Naso_fageni,10,0.45037328888382777,0.11392763732986413,3.5,1.0,4.7,0.08587540660807431,0.0,3.9,0.003270676025652114,0.0
Naso_hexacanthus,10,0.5925465341759002,0.13603752379658346,2.9,0.8,2.1,0.08869344306178925,0.0,7.9,0.001949791321056766,0.2
Naso_lituratus,16,0.6256846898786075,0.18511028274695535,2.875,0.6875,5.0625,0.09156358365917724,0.0,5.0625,0.0054497736729627886,0.0625
Naso_maculatus,1,0.6147524901030667,0.1713896915517426,3.0,1.0,8.0,0.07358091252727579,0.0,0.0,0.0,0.0
Naso_minor,6,0.7080229077172796,0.14462928156639382,2.3333333333333335,0.8333333333333334,0.8333333333333334,0.09922403487708752,0.0,1.8333333333333333,0.006089888539049785,0.0
Naso_tonganus,13,0.5439143331061265,0.09422515144684927,3.076923076923077,0.9230769230769231,4.230769230769231,0.07219030441104662,0.0,4.153846153846154,0.0034276228166910594,0.07692307692307693
Naso_tuberosus,3,0.5216892262316648,0.1268222953034073,3.0,1.0,7.333333333333333,0.0699890382516775,0.0,11.333333333333334,0.0025547240632393443,0.3333333333333333
Naso_unicornis,16,0.5256295758779685,0.13118588979668927,3.25,0.875,5.6875,0.07281388978688455,0.0,6.0625,0.00376749369323491,0.0625
Naso_vlamingii,17,0.4788282508262584,0.2413063585326578,3.6470588235294117,0.47058823529411764,10.176470588235293,0.08258417500801125,0.11764705882352941,7.647058823529412,0.003568113849664438,0.23529411764705882
Paracanthurus_hepatus,10,0.542291448390751,0.30796712301255014,3.3,0.1,3.4,0.10574516401230308,0.0,1.9,0.005585968907280075,0.0
Prionurus_laticlavius,17,0.6155414014612023,0.17904154068343192,3.3529411764705883,0.5294117647058824,2.0,0.08768140709452239,0.0,2.8823529411764706,0.0022305907362847282,0.058823529411764705
Prionurus_microlepidotus,17,0.4498846698620863,0.1219570157543784,3.3529411764705883,1.0,3.235294117647059,0.0865939542727414,0.0,4.235294117647059,0.004258757022732405,0.0
Zebrasoma_desjardinii,19,0.4941054916694493,0.2124990241947,3.3684210526315788,0.5789473684210527,24.42105263157895,0.06741498758167537,0.631578947368421,6.526315789473684,0.002746247717370056,0.10526315789473684
Zebrasoma_flavescens,8,0.5339807040450029,0.13013345506447455,3.25,0.875,3.25,0.0786730738097281,0.0,4.0,0.0025434981671111512,0.0
Zebrasoma_gemmatum,10,0.46873567383229375,0.23694577764908803,3.5,0.4,3.6,0.09279846253245905,0.0,8.4,0.0031329900150220994,0.2
Zebrasoma_scopas,14,0.4708241878952376,0.2400111819348285,3.2142857142857144,0.35714285714285715,4.5,0.08861814121315369,0.07142857142857142,3.7142857142857144,0.003527868334348704,0.07142857142857142
Zebrasoma_veliferum,18,0.438533212185088,0.22341647067668285,3.7222222222222223,0.3888888888888889,13.444444444444445,0.07895328896103278,0.1111111111111111,4.666666666666667,0.006464078690629204,0.1111111111111111
